file_name,QuestionText,answer
synpic49022,is this a noncontrast mri?,no
synpic39594,is this an mri image?,yes
synpic55020,is this a t2 weighted image?,no
synpic45994,was gi contrast given to the patient?,no
synpic22389,is this a ct scan?,yes
synpic52040,is this a ct scan?,no
synpic59844,was the ct scan taken with contrast?,no
synpic55004,is 	this a t1 weighted image?,yes
synpic22234,was the ct scan taken with contrast?,yes
synpic55263,is this a ct scan?,yes
synpic50798,was the mri taken with contrast?,yes
synpic33747,is this an mri image?,no
synpic15825,is this a ct scan?,yes
synpic61243,is this a ct scan?,no
synpic25323,is 	this a t1 weighted image?,yes
synpic26605,is this a t2 weighted image?,no
synpic52120,is this an mri image?,yes
synpic34050,was the ct scan taken with contrast?,yes
synpic27717,is this a t1 weighted image?,no
synpic53179,is this a noncontrast ct?,yes
synpic40756,is this a noncontrast ct?,yes
synpic19454,was the mri taken with contrast?,yes
synpic31158,was the ct scan taken with contrast?,yes
synpic30876,is this a noncontrast ct?,no
synpic51706,is this a ct scan?,yes
synpic21317,is this an mri image?,yes
synpic52572,is this a t2 weighted image?,no
synpic40995,is this a noncontrast ct?,yes
synpic18124,is this a t1 weighted image?,no
synpic42261,is this a noncontrast ct?,no
synpic41191,is this a t2 weighted image?,no
synpic56016,is 	this a t1 weighted image?,yes
synpic34412,is this a noncontrast mri?,no
synpic44943,was the mri taken with contrast?,yes
synpic48179,is this a noncontrast ct?,no
synpic53812,is this a noncontrast mri?,yes
synpic49802,is this a ct scan?,no
synpic53788,is this an mri image?,yes
synpic24697,was the mri taken with contrast?,no
synpic38896,is this a noncontrast ct?,no
synpic45982,is this a noncontrast ct?,yes
synpic60410,was the ct scan taken with contrast?,yes
synpic56675,is 	this a t1 weighted image?,yes
synpic55078,is this a t2 weighted image?,no
synpic55680,was the ct scan taken with contrast?,no
synpic19581,was the ct scan taken with contrast?,no
synpic55906,is this a t2 weighted image?,no
synpic20532,was iv contrast given to the patient?,yes
synpic51871,is this a noncontrast ct?,no
synpic46477,is this a t2 weighted image?,no
synpic35909,was gi contrast given to the patient?,no
synpic40992,is this an mri image?,no
synpic21321,is this a ct scan?,no
synpic14963,was the ct scan taken with contrast?,yes
synpic58167,was the mri taken with contrast?,yes
synpic46659,was gi contrast given to the patient?,no
synpic47727,was the ct scan taken with contrast?,yes
synpic40873,is this an mri image?,yes
synpic32106,is this a ct scan?,no
synpic28724,was gi contrast given to the patient?,no
synpic34823,is this an mri image?,yes
synpic47289,is this a t2 weighted image?,no
synpic44357,is this a t2 weighted image?,no
synpic48672,is this an mri image?,yes
synpic55322,is 	this a t1 weighted image?,yes
synpic40393,was the mri taken with contrast?,no
synpic59476,is this a noncontrast mri?,no
synpic53630,was the mri taken with contrast?,yes
synpic36503,is this a noncontrast ct?,yes
synpic35162,was the mri taken with contrast?,no
synpic24058,was iv contrast given to the patient?,yes
synpic49276,is this a t1 weighted image?,no
synpic13035,was iv contrast given to the patient?,yes
synpic19163,is this a t2 weighted image?,no
synpic25326,is this an mri image?,yes
synpic39919,is this a noncontrast ct?,yes
synpic49386,was the mri taken with contrast?,no
synpic9892,was the ct scan taken with contrast?,yes
synpic39649,was the ct scan taken with contrast?,yes
synpic59738,is this an mri image?,yes
synpic34371,was iv contrast given to the patient?,yes
synpic18884,is this a ct scan?,no
synpic56634,is this a t1 weighted image?,no
synpic46834,is this a noncontrast ct?,yes
synpic56520,is this a t2 weighted image?,no
synpic41686,is this a noncontrast mri?,no
synpic27051,is this a noncontrast mri?,yes
synpic41554,is this an mri image?,yes
synpic45981,is this a ct scan?,yes
synpic56573,is this a t2 weighted image?,no
synpic50789,is this a t1 weighted image?,no
synpic51255,is this a t2 weighted image?,no
synpic33714,is this a t1 weighted image?,no
synpic46264,is this an mri image?,no
synpic55342,is this a noncontrast mri?,no
synpic43679,is this an mri image?,no
synpic45484,is this a ct scan?,yes
synpic53083,was the ct scan taken with contrast?,yes
synpic49988,is this a noncontrast ct?,yes
synpic59468,is this a t1 weighted image?,no
synpic47258,is this an mri image?,yes
synpic28220,was the ct scan taken with contrast?,yes
synpic52243,is this an mri image?,no
synpic31514,is this a ct scan?,yes
synpic54990,was the ct scan taken with contrast?,no
synpic28031,is this a ct scan?,yes
synpic56695,is this a t1 weighted image?,no
synpic38562,was the mri taken with contrast?,yes
synpic55097,was the ct scan taken with contrast?,no
synpic42019,is this an mri image?,no
synpic57815,was the mri taken with contrast?,yes
synpic51003,is this a noncontrast ct?,yes
synpic39658,was the ct scan taken with contrast?,no
synpic50736,is this a noncontrast ct?,no
synpic45952,is this a noncontrast ct?,yes
synpic51824,is this a ct scan?,yes
synpic16441,is this a ct scan?,yes
synpic41203,is this a t1 weighted image?,no
synpic32112,was the ct scan taken with contrast?,yes
synpic26325,is this a noncontrast mri?,yes
synpic35168,was the ct scan taken with contrast?,no
synpic18994,is this a t2 weighted image?,no
synpic16984,is this an mri image?,no
synpic16608,is this an mri image?,no
synpic59806,is this a noncontrast mri?,yes
synpic35998,is this an mri image?,no
synpic34151,was gi contrast given to the patient?,no
synpic53306,is this a noncontrast mri?,yes
synpic49804,is this a t2 weighted image?,no
synpic45471,is this an mri image?,yes
synpic55677,was the ct scan taken with contrast?,no
synpic57362,was the mri taken with contrast?,yes
synpic31928,is this a t1 weighted image?,no
synpic26387,is this a noncontrast ct?,no
synpic31438,is this a ct scan?,yes
synpic59562,is 	this a t1 weighted image?,yes
synpic59017,is this a ct scan?,no
synpic21857,was gi contrast given to the patient?,no
synpic57480,is this a t2 weighted image?,no
synpic25518,was the ct scan taken with contrast?,yes
synpic27238,was the ct scan taken with contrast?,no
synpic20741,is this a noncontrast ct?,no
synpic18141,is this a ct scan?,yes
synpic39703,is this a t2 weighted image?,no
synpic45929,was the ct scan taken with contrast?,no
synpic52275,is this a t2 weighted image?,no
synpic25301,is this a ct scan?,yes
synpic29197,was the ct scan taken with contrast?,no
synpic19555,was the ct scan taken with contrast?,yes
synpic58314,is this a ct scan?,no
synpic26311,is this an mri image?,no
synpic31978,is this a noncontrast mri?,yes
synpic19464,is 	this a t1 weighted image?,yes
synpic60798,is 	this a t1 weighted image?,yes
synpic49363,was the mri taken with contrast?,no
synpic56922,is this a t2 weighted image?,no
synpic53311,is 	this a t1 weighted image?,yes
synpic49026,is this a t1 weighted image?,no
synpic25418,is this an mri image?,no
synpic50740,is this a t1 weighted image?,no
synpic57482,is this a t2 weighted image?,no
synpic56732,is this a noncontrast ct?,yes
synpic56035,is this a ct scan?,no
synpic58466,is this a t2 weighted image?,no
synpic55460,is this a noncontrast ct?,yes
synpic12143,is this a t1 weighted image?,no
synpic13488,was the mri taken with contrast?,no
synpic46240,is this a t1 weighted image?,no
synpic40742,was iv contrast given to the patient?,yes
synpic21330,is this a t2 weighted image?,no
synpic50678,is this a noncontrast mri?,yes
synpic44727,is this a noncontrast mri?,yes
synpic27650,is 	this a t1 weighted image?,yes
synpic54588,is this a t2 weighted image?,no
synpic13430,is this an mri image?,no
synpic57064,is this a t2 weighted image?,no
synpic51056,was the ct scan taken with contrast?,no
synpic26930,is this a t1 weighted image?,no
synpic45923,is this a noncontrast mri?,no
synpic38310,is this a noncontrast ct?,yes
synpic56201,is this a t2 weighted image?,no
synpic26679,was iv contrast given to the patient?,yes
synpic18414,is 	this a t1 weighted image?,yes
synpic16873,is this a noncontrast ct?,no
synpic16200,is this a ct scan?,yes
synpic59382,is this an mri image?,yes
synpic25499,is this a ct scan?,yes
synpic39654,was the ct scan taken with contrast?,no
synpic51610,is this a ct scan?,yes
synpic53066,was the mri taken with contrast?,no
synpic47594,is this a t1 weighted image?,no
synpic40735,is 	this a t1 weighted image?,yes
synpic16225,was iv contrast given to the patient?,yes
synpic32840,is this a t2 weighted image?,no
synpic28026,is this a noncontrast mri?,no
synpic18764,is this a ct scan?,no
synpic16195,is this a ct scan?,yes
synpic40047,is this a noncontrast mri?,yes
synpic47420,is this a noncontrast ct?,no
synpic47528,is this a noncontrast mri?,yes
synpic59843,is this an mri image?,no
synpic17812,is this a noncontrast ct?,no
synpic41800,is this a t1 weighted image?,no
synpic16420,was iv contrast given to the patient?,no
synpic46497,is this an mri image?,no
synpic36936,is this a noncontrast mri?,yes
synpic58981,is 	this a t1 weighted image?,yes
synpic49086,is this an mri image?,no
synpic53259,is this a ct scan?,yes
synpic37078,is this a noncontrast ct?,yes
synpic33272,is this a noncontrast ct?,yes
synpic24718,is 	this a t1 weighted image?,yes
synpic37626,is this an mri image?,yes
synpic16704,is this a noncontrast ct?,no
synpic53776,is 	this a t1 weighted image?,yes
synpic54131,was the mri taken with contrast?,no
synpic41331,is this a noncontrast mri?,yes
synpic49820,is this a t2 weighted image?,no
synpic52018,is this a ct scan?,yes
synpic33517,is this a noncontrast mri?,yes
synpic40903,is this a noncontrast mri?,no
synpic57733,is this a noncontrast mri?,yes
synpic25432,was the ct scan taken with contrast?,no
synpic33373,is this a noncontrast ct?,yes
synpic30717,is this an mri image?,yes
synpic38276,is this a ct scan?,yes
synpic30351,is this an mri image?,no
synpic33990,is this a t1 weighted image?,no
synpic32274,is this a noncontrast ct?,yes
synpic36069,is this a t2 weighted image?,no
synpic38141,is this an mri image?,no
synpic53182,was the ct scan taken with contrast?,no
synpic52090,is this a t1 weighted image?,no
synpic56781,is 	this a t1 weighted image?,yes
synpic53683,is this a noncontrast mri?,no
synpic46857,was the mri taken with contrast?,yes
synpic50966,is 	this a t1 weighted image?,yes
synpic45054,is this an mri image?,yes
synpic61287,was the ct scan taken with contrast?,yes
synpic60629,is this a ct scan?,no
synpic17266,is this a t2 weighted image?,no
synpic36318,is this a ct scan?,yes
synpic48813,is this a ct scan?,yes
synpic43623,was gi contrast given to the patient?,no
synpic52292,was the ct scan taken with contrast?,yes
synpic45121,was iv contrast given to the patient?,yes
synpic51227,is 	this a t1 weighted image?,yes
synpic45393,was the mri taken with contrast?,no
synpic45691,is this a ct scan?,yes
synpic58796,is this a ct scan?,yes
synpic27917,is this a noncontrast ct?,yes
synpic26969,is this a t2 weighted image?,no
synpic21352,is this a t1 weighted image?,no
synpic23178,is this an mri image?,no
synpic39483,was the mri taken with contrast?,yes
synpic47867,is this an mri image?,no
synpic46434,was the ct scan taken with contrast?,yes
synpic55404,is this a ct scan?,yes
synpic45999,is this a ct scan?,yes
synpic27377,was gi contrast given to the patient?,no
synpic40823,is this an mri image?,yes
synpic38293,was the ct scan taken with contrast?,no
synpic51544,is this a ct scan?,yes
synpic39976,is this a ct scan?,yes
synpic27244,is this a ct scan?,yes
synpic16565,is this a noncontrast ct?,no
synpic55261,was iv contrast given to the patient?,yes
synpic36990,was gi contrast given to the patient?,no
synpic18311,is this a noncontrast mri?,yes
synpic46520,is this a noncontrast mri?,no
synpic29459,is this an mri image?,yes
synpic51912,is this a ct scan?,no
synpic56854,is this an mri image?,no
synpic50667,is this a t2 weighted image?,no
synpic46878,is this a t1 weighted image?,no
synpic54074,was iv contrast given to the patient?,yes
synpic17898,is this a t1 weighted image?,no
synpic30376,is this an mri image?,yes
synpic59924,was the ct scan taken with contrast?,no
synpic37621,was the ct scan taken with contrast?,yes
synpic47938,is this a ct scan?,yes
synpic47707,is this a ct scan?,yes
synpic51229,is this a ct scan?,no
synpic45897,is this a t2 weighted image?,no
synpic35961,was iv contrast given to the patient?,yes
synpic16073,was gi contrast given to the patient?,no
synpic21861,is this a noncontrast ct?,yes
synpic56739,is this a noncontrast mri?,no
synpic21860,is this an mri image?,no
synpic49068,is this a ct scan?,no
synpic58194,is this an mri image?,no
synpic26932,is this a t2 weighted image?,no
synpic58014,is this a noncontrast mri?,no
synpic31687,was iv contrast given to the patient?,yes
synpic40485,is this an mri image?,yes
synpic29916,was the ct scan taken with contrast?,no
synpic42059,is 	this a t1 weighted image?,yes
synpic27064,is this an mri image?,no
synpic22835,is this a noncontrast ct?,no
synpic27462,is this a t1 weighted image?,no
synpic40413,is 	this a t1 weighted image?,yes
synpic23065,is this a ct scan?,yes
synpic38626,is this a t2 weighted image?,no
synpic54068,is this a ct scan?,yes
synpic56758,is this an mri image?,no
synpic55974,is 	this a t1 weighted image?,yes
synpic17931,is this a ct scan?,yes
synpic38630,was the ct scan taken with contrast?,yes
synpic42118,is this a t1 weighted image?,no
synpic46650,is this an mri image?,no
synpic56412,is this a noncontrast ct?,no
synpic55208,is this a noncontrast ct?,yes
synpic29032,is this a noncontrast mri?,no
synpic15591,is this an mri image?,yes
synpic45165,is this a t2 weighted image?,no
synpic30495,is this a t2 weighted image?,no
synpic35705,is this an mri image?,no
synpic48506,is this a noncontrast ct?,no
synpic23289,was gi contrast given to the patient?,no
synpic34541,is 	this a t1 weighted image?,yes
synpic42212,was iv contrast given to the patient?,yes
synpic55498,was the ct scan taken with contrast?,no
synpic38450,is this a ct scan?,yes
synpic56199,is this a t2 weighted image?,no
synpic17310,is this a t1 weighted image?,no
synpic49959,is 	this a t1 weighted image?,yes
synpic40836,is 	this a t1 weighted image?,yes
synpic19338,is this a ct scan?,yes
synpic44991,is this a noncontrast ct?,yes
synpic26908,is this a ct scan?,no
synpic37430,is this a t2 weighted image?,no
synpic51293,is 	this a t1 weighted image?,yes
synpic56406,was the mri taken with contrast?,yes
synpic40521,is this an mri image?,no
synpic45705,is this a t2 weighted image?,no
synpic38218,is this a noncontrast mri?,no
synpic30742,is this a ct scan?,yes
synpic29220,was iv contrast given to the patient?,yes
synpic26535,is this a ct scan?,yes
synpic38841,is this a ct scan?,yes
synpic50846,was the mri taken with contrast?,no
synpic21431,was the ct scan taken with contrast?,no
synpic21633,is this a ct scan?,no
synpic54954,is this an mri image?,no
synpic41335,is this a ct scan?,yes
synpic52906,is this an mri image?,yes
synpic30734,is this a ct scan?,yes
synpic22011,is this a noncontrast ct?,no
synpic24628,is this a t2 weighted image?,no
synpic55589,is this a noncontrast mri?,no
synpic28097,is this a t2 weighted image?,no
synpic39028,is this an mri image?,yes
synpic19533,was iv contrast given to the patient?,yes
synpic52440,is this a t1 weighted image?,no
synpic14954,was iv contrast given to the patient?,yes
synpic25373,was the ct scan taken with contrast?,yes
synpic55717,was the ct scan taken with contrast?,no
synpic40065,is this an mri image?,no
synpic46430,is this a ct scan?,no
synpic30326,was gi contrast given to the patient?,no
synpic40924,is this a t1 weighted image?,no
synpic36246,is this a ct scan?,yes
synpic23773,is this a t1 weighted image?,no
synpic52967,is this a ct scan?,yes
synpic55041,is this a noncontrast mri?,no
synpic31660,is this a ct scan?,yes
synpic20531,is this a noncontrast ct?,no
synpic44440,is this a ct scan?,yes
synpic54991,is this a ct scan?,yes
synpic59929,is this a ct scan?,yes
synpic48571,is this an mri image?,no
synpic24454,was iv contrast given to the patient?,yes
synpic55563,is this a noncontrast ct?,yes
synpic56396,is this a t2 weighted image?,no
synpic31716,is this a noncontrast ct?,no
synpic29147,is this a noncontrast ct?,no
synpic26818,is this an mri image?,yes
synpic16429,is this a t2 weighted image?,no
synpic48717,was the ct scan taken with contrast?,no
synpic41873,is this a t1 weighted image?,no
synpic50025,is this a noncontrast mri?,yes
synpic59658,is this a ct scan?,yes
synpic55541,is this an mri image?,no
synpic30468,was the ct scan taken with contrast?,no
synpic56988,was the mri taken with contrast?,yes
synpic41692,is this an mri image?,yes
synpic55711,is this a t2 weighted image?,no
synpic32726,is this a noncontrast ct?,no
synpic38503,was gi contrast given to the patient?,no
synpic56278,was iv contrast given to the patient?,yes
synpic25021,is this a noncontrast ct?,no
synpic53239,is this a ct scan?,yes
synpic50342,is this a ct scan?,yes
synpic45778,is this a ct scan?,yes
synpic31506,is this a ct scan?,yes
synpic46657,is this a t1 weighted image?,no
synpic41139,is this a ct scan?,yes
synpic39021,is this a t2 weighted image?,no
synpic46752,is this an mri image?,yes
synpic21727,was the ct scan taken with contrast?,no
synpic47559,is this a noncontrast ct?,yes
synpic27620,was the ct scan taken with contrast?,yes
synpic39725,is 	this a t1 weighted image?,yes
synpic35369,is this an mri image?,yes
synpic21793,is this a t2 weighted image?,no
synpic60628,is 	this a t1 weighted image?,yes
synpic38936,is this a noncontrast mri?,no
synpic53237,was the ct scan taken with contrast?,no
synpic36193,is this a noncontrast ct?,yes
synpic45975,is this a t2 weighted image?,no
synpic46709,is this an mri image?,no
synpic41492,is this a t2 weighted image?,no
synpic20353,is this a noncontrast ct?,yes
synpic28492,is this an mri image?,no
synpic36777,was the mri taken with contrast?,yes
synpic35347,is this a noncontrast mri?,yes
synpic31357,is this a ct scan?,yes
synpic53173,was the ct scan taken with contrast?,no
synpic59019,is this a ct scan?,no
synpic48298,was the ct scan taken with contrast?,no
synpic55710,is 	this a t1 weighted image?,yes
synpic41291,is this a t2 weighted image?,no
synpic52495,is this a t1 weighted image?,no
synpic27303,is this a ct scan?,no
synpic36071,is this a t1 weighted image?,no
synpic43056,is this a ct scan?,yes
synpic49125,is this a noncontrast ct?,yes
synpic57413,is this a noncontrast mri?,yes
synpic58453,is this a t2 weighted image?,no
synpic16198,was iv contrast given to the patient?,no
synpic23294,is this a noncontrast mri?,yes
synpic37886,was the ct scan taken with contrast?,yes
synpic47973,is this an mri image?,no
synpic50387,was gi contrast given to the patient?,no
synpic52115,was the mri taken with contrast?,no
synpic53335,was the mri taken with contrast?,yes
synpic56783,is this a t2 weighted image?,no
synpic24348,is this a noncontrast ct?,yes
synpic39078,is this a t2 weighted image?,no
synpic51569,is this a ct scan?,no
synpic57259,is this an mri image?,no
synpic28895,is this a ct scan?,no
synpic31831,is this a t1 weighted image?,no
synpic32276,is this a noncontrast ct?,yes
synpic34214,is this a t1 weighted image?,no
synpic36702,is this an mri image?,no
synpic37562,was gi contrast given to the patient?,no
synpic37874,is this a noncontrast mri?,yes
synpic40892,is this a ct scan?,no
synpic41294,is this an mri image?,yes
synpic42080,was the mri taken with contrast?,no
synpic47044,is 	this a t1 weighted image?,yes
synpic49514,is this a noncontrast mri?,no
synpic51078,was the mri taken with contrast?,yes
synpic53046,is this a t1 weighted image?,no
synpic58471,is this an mri image?,yes
synpic59533,was the mri taken with contrast?,yes
synpic35690,is this a noncontrast mri?,yes
synpic16121,is this a ct scan?,yes
synpic35676,is 	this a t1 weighted image?,yes
synpic35695,is this a t2 weighted image?,no
synpic21779,is this a noncontrast ct?,yes
synpic48035,was the ct scan taken with contrast?,no
synpic48039,is this an mri image?,no
synpic16120,is this a noncontrast ct?,yes
synpic16122,is this a ct scan?,yes
synpic35673,is this an mri image?,yes
synpic35688,is this a ct scan?,no
synpic17687,is this a t2 weighted image?,no
synpic35667,is this a noncontrast mri?,yes
synpic35671,is 	this a t1 weighted image?,yes
synpic35674,is 	this a t1 weighted image?,yes
synpic35699,is this a t2 weighted image?,no
synpic39180,was iv contrast given to the patient?,no
synpic54892,is this a t2 weighted image?,no
synpic54898,was the mri taken with contrast?,no
synpic26843,is this a ct scan?,no
synpic28827,is 	this a t1 weighted image?,yes
synpic35685,is this a t2 weighted image?,no
synpic35687,is this a t2 weighted image?,no
synpic48036,is this a noncontrast ct?,yes
synpic54897,is this a ct scan?,no
synpic57969,does this image look normal?,no
synpic47344,is the mri normal?,no
synpic51715,is the mri normal?,no
synpic51641,is there something wrong in the image?,yes
synpic35181,is this a normal mri?,no
synpic50808,is there something wrong in the image?,yes
synpic59257,are there abnormalities in this mri?,yes
synpic43656,is there something wrong in the image?,yes
synpic42219,is there evidence of any abnormalities?,yes
synpic61066,are there abnormalities in this mri?,yes
synpic51871,is this image normal?,no
synpic26311,does this image look normal?,no
synpic36499,is the x-ray normal?,yes
synpic36495,does this image look normal?,yes
synpic17207,does this image look normal?,no
synpic36390,are there abnormalities in this ct scan?,yes
synpic30495,is this image normal?,no
synpic19751,is there an abnormality in the mri?,yes
synpic18134,is there an abnormality in the x-ray?,yes
synpic36494,are there abnormalities in this x-ray?,no
synpic58453,is there evidence of any abnormalities?,no
synpic36489,is this a normal x-ray?,yes
synpic25793,are there abnormalities in this mammograph?,no
synpic35690,is this a normal mri?,yes
synpic54544,is there something wrong in the image?,no
synpic16121,are there abnormalities in this ct scan?,no
synpic24026,does this image look normal?,yes
synpic25074,is this a normal x-ray?,yes
synpic25639,is this image normal?,yes
synpic25642,is there an abnormality in the x-ray?,no
synpic25654,is this image normal?,yes
synpic25660,is there an abnormality in the x-ray?,no
synpic26283,is there evidence of any abnormalities?,no
synpic28398,does this image look normal?,yes
synpic35676,is the mri normal?,yes
synpic35679,is there an abnormality in the mri?,no
synpic35692,is this a normal mri?,yes
synpic35695,is the mri normal?,yes
synpic41953,are there abnormalities in this gastrointestinal image?,no
synpic41954,are there abnormalities in this gastrointestinal image?,no
synpic41956,is there evidence of any abnormalities?,no
synpic48035,is there an abnormality in the ct scan?,no
synpic48039,is the ct scan normal?,yes
synpic54541,is the nuclear medicine image normal?,yes
synpic54894,is there evidence of any abnormalities?,no
synpic16120,is there an abnormality in the ct scan?,no
synpic16122,is this a normal ct scan?,yes
synpic18103,is this a normal angiogram?,yes
synpic18105,is this a normal angiogram?,yes
synpic18106,does this image look normal?,yes
synpic25635,is there an abnormality in the x-ray?,no
synpic25652,is there an abnormality in the x-ray?,no
synpic25657,does this image look normal?,yes
synpic25749,are there abnormalities in this x-ray?,no
synpic25798,is the gastrointestinal image normal?,yes
synpic26844,is there something wrong in the image?,no
synpic35670,does this image look normal?,yes
synpic35672,does this image look normal?,yes
synpic35673,does this image look normal?,yes
synpic35680,does this image look normal?,yes
synpic35688,does this image look normal?,yes
synpic54895,is this a normal mri?,yes
synpic17687,is this a normal mri?,yes
synpic18668,is there something wrong in the image?,no
synpic18670,are there abnormalities in this ultrasound?,no
synpic24025,is this a normal ultrasound?,yes
synpic25073,does this image look normal?,yes
synpic25619,does this image look normal?,yes
synpic25631,is there an abnormality in the x-ray?,no
synpic25640,is this a normal x-ray?,yes
synpic25655,is the x-ray normal?,yes
synpic25787,is there evidence of any abnormalities?,no
synpic25796,is there something wrong in the image?,no
synpic26416,is this image normal?,yes
synpic26845,is this image normal?,yes
synpic26846,is there something wrong in the image?,no
synpic33350,is there something wrong in the image?,no
synpic34660,is there an abnormality in the x-ray?,no
synpic34662,is there evidence of any abnormalities?,no
synpic35667,is the mri normal?,yes
synpic35668,is the mri normal?,yes
synpic35671,is there something wrong in the image?,no
synpic35674,is this a normal mri?,yes
synpic35699,are there abnormalities in this mri?,no
synpic39180,is the ct scan normal?,yes
synpic41951,is there something wrong in the image?,no
synpic41952,is this a normal gastrointestinal image?,yes
synpic54543,does this image look normal?,yes
synpic54892,are there abnormalities in this mri?,no
synpic54898,is there evidence of any abnormalities?,no
synpic4288,is there an abnormality in the ct scan?,no
synpic18104,is this image normal?,yes
synpic18667,is there evidence of any abnormalities?,no
synpic18669,is this a normal ultrasound?,yes
synpic18671,does this image look normal?,yes
synpic18672,is this image normal?,yes
synpic25649,are there abnormalities in this x-ray?,no
synpic25650,is the x-ray normal?,yes
synpic25662,does this image look normal?,yes
synpic25797,does this image look normal?,yes
synpic26841,is this image normal?,yes
synpic26843,is this a normal mri?,yes
synpic28827,is there something wrong in the image?,no
synpic34659,is this image normal?,yes
synpic34661,does this image look normal?,yes
synpic35685,is this image normal?,yes
synpic35687,is there something wrong in the image?,no
synpic35701,is there evidence of any abnormalities?,no
synpic48036,is the ct scan normal?,yes
synpic54897,is there an abnormality in the mri?,no
